#,phrase,real,class_v1,class_v2
1,nossa q app bostakkkkkk,yes,no,yes
2,nossa muito bom nota dez,no,no,no
3,ta travando muito,yes,yes,yes
4,depois da atualizacao ficou uma bomba,yes,no,no
5,aplicativo fecha sozinho no iphone,yes,no,no
6,como que compra,no,no,no
7,texto nao ta formatado no app,yes,no,yes
8,como que fechaaaa,yes,no,no
9,francisco correa,no,no,yes
10,versao 1.7 muito lixo,yes,yes,yes
11,motoboy nao entregou minha coca nota 0,yes,no,yes
12,app fez o pedido duplicado,yes,no,yes
13,app cobrou duas vezes,yes,no,yes
14,site muito lento,yes,no,yes
15,site nao carregas as imagens,yes,no,yes
16,nao consigo fazer login,yes,yes,yes
17,como que troca a senhaaa,yes,no,no
18,meu app ta em chines,yes,no,yes
19,gosto de batata,no,no,no
20,app muito bom slc,no,no,yes
21,vou travar o zap do meu pai,no,yes,yes
22,vo invadi esse site,no,no,no
23,ta travandooo,yes,yes,yes
24,parou de travar depois que atualizei,no,yes,yes
25,app bomba,yes,no,yes
26,nao consigo upar na nuvem,yes,yes,yes
27,codigo feito por um chimpanze,yes,no,yes
28,dev codou com a bunda isso aqui,yes,no,yes
29,super mal feito,yes,no,no
30,empresa so pensa em dinheiro,yes,no,yes
31,magnatas,yes,no,no
